date,len,V,V_prime,theta,rho,eta,gamma,theta_t_loss,w_t_loss,w_t_error
2011-01-04,878,0.0127134988321308,0.049995708689827,7.117931532680788e-18,-0.5418896107410034,1.2651554890598573,0.4659847007765902,0.0003909256360467,0.0122585095308158,0.0122585095308158
2011-01-05,881,0.0134790631069739,0.0481311469209332,5.889039709330981e-19,-0.539117632209249,1.2677291698655422,0.4658129241093416,0.0003922050762389,0.0125010368048668,0.0125010368048668
2011-01-06,881,0.0141441287708856,0.0486968840676783,8.244785153255654e-18,-0.5511035427053674,1.2506463419846368,0.4689163309805834,0.0003639030400764,0.0132778604778801,0.0132778604778801
2011-01-07,722,0.0137297376632987,0.0482477881668791,-5.027407101666393e-18,-0.5731803527556176,1.2884693532365712,0.4470785944747866,0.0004774851890957,0.0105786633423949,0.0105786633423949
2011-01-10,722,0.0128608517562028,0.0487395288000195,8.26697382683919e-18,-0.5480563181494374,1.2416275532781824,0.4662876565365946,0.0003951033424009,0.0114542658113731,0.0114542658113731
2011-01-11,722,0.0121274368976117,0.0486600736981045,5.1997042104476135e-18,-0.5874050181003774,1.2552132557902451,0.4528188990701721,0.000369342341276,0.0109389682634935,0.0109389682634935
2011-01-12,790,0.015277929555182,0.0417927594536294,0.0487456807469121,-0.5852977879910161,1.2131519878978936,0.4600038688627444,0.0002047315031634,0.0113837197969007,0.0113837197969007
2011-01-13,790,0.0147983313195815,0.0424154553054369,0.0417633833826681,-0.5773719078069781,1.2343062140711756,0.4543377886392764,0.0003743479608988,0.0117406821650819,0.0117406821650819
2011-01-14,792,0.0071186770238864,0.0425146505382933,0.0370345267393482,-0.5022076087526943,1.243925145541527,0.4843113497637888,0.000117140603539,0.0133803306217048,0.0133803306217048
2011-01-18,819,0.0109394653199968,0.0413935638515634,0.0453255233308219,-0.5453461511992507,1.187729908708287,0.4860521579767021,0.0001651245973794,0.0144586544719472,0.0144586544719472
2011-01-26,862,0.0104059222576576,0.0394510209161203,0.0511558115369523,-0.5499464972194631,1.1891243537497975,0.5,0.0001386379840291,0.0162141788088586,0.0162141788088586
2011-01-27,862,0.0097642759070568,0.0381417410957858,0.0453777866999094,-0.5585463547645565,1.1730644204885852,0.5,9.70789623231989e-05,0.0149802332358582,0.0149802332358582
2011-01-28,862,0.0174724205745533,0.0420319146239444,9.001335084266533e-18,-0.5823881383056245,1.1509939141295171,0.4865906139207767,0.0003368792291737,0.015521691440798,0.015521691440798
2011-01-31,862,0.0231952227454221,0.0357877546757468,0.0698168297259749,-0.6369549320147748,1.1005106592486793,0.5,0.0002561303093531,0.014158522501472,0.014158522501472
2011-02-01,862,0.0132481678870051,0.0380721401615894,0.03649933289277,-0.5537904356115497,1.1792321454041237,0.5,0.0001624013982342,0.0164988118331964,0.0164988118331964
2011-02-02,863,0.0154402089655253,0.0367157411679299,0.0511506120077107,-0.5366747926834284,1.2027912808786116,0.5,0.0001107838299367,0.0131940062732036,0.0131940062732036
2011-02-03,863,0.015062036392617,0.0362574701724238,0.0526638020235059,-0.6005989030625293,1.1896474363708909,0.4886187925397371,8.802438716258245e-05,0.0136621486149468,0.0136621486149468
2011-02-04,709,0.0172396264527157,0.0320851438238353,0.093320425501004,-0.6456481371472498,1.0893771147828504,0.4890297202304507,0.0005688607398757,0.0111809798117851,0.0111809798117851
2011-02-07,709,0.0106488961323322,0.0370791695058571,-3.0129547545353133e-17,-0.5943277788950759,1.3058514447497631,0.4797750112070462,0.0004309370419095,0.013465884736666,0.013465884736666
2011-02-08,716,0.0160488211656875,0.0303988547771533,0.0822940563140239,-0.6009330296284848,1.1174846409833212,0.5,0.0005651490577706,0.011688690580142,0.011688690580142
2011-02-09,789,0.0116855424605758,0.0341628086577439,0.0377214677554507,-0.5858917741677674,1.1478449967225783,0.5,0.0003938211741381,0.0104800043848542,0.0104800043848542
2011-02-10,792,0.0123358061550899,0.0336539480921069,0.0444922833436935,-0.5802304269452143,1.1457796991803797,0.5,0.0002541234299908,0.0105760977355229,0.0105760977355229
2011-02-11,792,0.0091074823519146,0.0356835013457538,0.0010235861642193,-0.5783619951794874,1.1775475825240742,0.5,0.0003369790102143,0.0120956521252235,0.0120956521252235
2011-02-14,825,0.0106878255917894,0.0352723065495536,-1.3407053614533304e-18,-0.5751014516343277,1.159275060067231,0.5,0.0001770390528891,0.0114809986281676,0.0114809986281676
2011-02-15,825,0.0118316260661689,0.0358242543929738,6.5052130349130266e-18,-0.5680708325059026,1.2145632824816357,0.5,0.0001891294368442,0.012120155176555,0.012120155176555
2011-02-16,825,0.0129564867606559,0.0358565790674089,2.8613292219929675e-20,-0.5941746360251049,1.1443729248042456,0.5,0.0002557320722553,0.013168675331076,0.013168675331076
2011-02-17,866,0.01365401196401,0.0332635424929808,0.0456505951289252,-0.551648288855544,1.2070208907521058,0.5,0.0001338199504413,0.0110561318158284,0.0110561318158284
2011-02-18,866,0.0181492397260644,0.0306060547142487,0.0947909471235871,-0.6072718382499643,1.1306703081041816,0.5,0.0005866082521492,0.0116087516176161,0.0116087516176161
2011-02-22,868,0.0256205291953684,0.0387368853221103,0.0423454651959271,-0.5753880274300543,1.1296473931049251,0.5,0.0001428359978504,0.0080469371168825,0.0080469371168825
2011-02-23,868,0.0326752329390604,0.0423485020796187,3.657472227321842e-18,-0.6688957110633656,1.2141221254077712,0.4474974644728891,0.0003155335218219,0.0090167730320604,0.0090167730320604
